id,task,response,rt,correct,question_id
participant_1,A bat and a ball cost $1.10. The bat costs $1.00 more than the ball. How much does the ball cost?,0.1,10667,False,1
participant_1,"If it takes 5 machines 5 min to make 5 widgets, how long would it take 100 machines to make 100 widgets?",100,8276,False,2
participant_1,"In a lake, there is a patch of lily pads. Every day, the patch doubles in size. If it takes 48 days for the patch to cover the entire lake, how long would it take for the patch to cover half of the lake?",24,10855,False,3
participant_1,"If John can drink one barrel of water in 6 days, and Mary can drink one barrel of water in 12 days, how long would it take them to drink one barrel of water together?",4,17372,True,4
participant_1,Jerry received both the 15th highest and 15th lowest mark in the class. How many students are in the class?,30,15960,False,5
participant_1,"A man buys a pig for $60, sells it for $70, buys it back for $80, and sells it finally for $90. How much has he made?",10,49885,False,6
participant_1,"Simon decided to invest $8,000 in the stock market 1 day early in 2008. Six months after he invested, in July 17, the stocks he had purchased were down 50%. Fortunately for Simon, from July 17 to October 17, the stocks he had purchased went up 75%. At this point...",profit,17441,True,7
participant_10,"Simon decided to invest $8,000 in the stock market 1 day early in 2008. Six months after he invested, in July 17, the stocks he had purchased were down 50%. Fortunately for Simon, from July 17 to October 17, the stocks he had purchased went up 75%. At this point...",loss,27437,False,7
participant_10,"A man buys a pig for $60, sells it for $70, buys it back for $80, and sells it finally for $90. How much has he made?",20,39548,True,6
participant_10,"If John can drink one barrel of water in 6 days, and Mary can drink one barrel of water in 12 days, how long would it take them to drink one barrel of water together?",4,89528,True,4
participant_10,Jerry received both the 15th highest and 15th lowest mark in the class. How many students are in the class?,15,19771,False,5
participant_10,"If it takes 5 machines 5 min to make 5 widgets, how long would it take 100 machines to make 100 widgets?",5,15841,True,2
participant_10,A bat and a ball cost $1.10. The bat costs $1.00 more than the ball. How much does the ball cost?,0.05,37580,True,1
participant_10,"In a lake, there is a patch of lily pads. Every day, the patch doubles in size. If it takes 48 days for the patch to cover the entire lake, how long would it take for the patch to cover half of the lake?",24,17263,False,3
participant_100,A bat and a ball cost $1.10. The bat costs $1.00 more than the ball. How much does the ball cost?,0.1,25885,False,1
participant_100,"If it takes 5 machines 5 min to make 5 widgets, how long would it take 100 machines to make 100 widgets?",100,29760,False,2
participant_100,"In a lake, there is a patch of lily pads. Every day, the patch doubles in size. If it takes 48 days for the patch to cover the entire lake, how long would it take for the patch to cover half of the lake?",24,38055,False,3
participant_100,"If John can drink one barrel of water in 6 days, and Mary can drink one barrel of water in 12 days, how long would it take them to drink one barrel of water together?",4,71740,True,4
participant_100,Jerry received both the 15th highest and 15th lowest mark in the class. How many students are in the class?,29,35559,True,5
participant_100,"A man buys a pig for $60, sells it for $70, buys it back for $80, and sells it finally for $90. How much has he made?",20,21674,True,6
participant_100,"Simon decided to invest $8,000 in the stock market 1 day early in 2008. Six months after he invested, in July 17, the stocks he had purchased were down 50%. Fortunately for Simon, from July 17 to October 17, the stocks he had purchased went up 75%. At this point...",profit,68661,True,7
participant_101,"A man buys a pig for $60, sells it for $70, buys it back for $80, and sells it finally for $90. How much has he made?",20,56035,True,6
participant_101,"Simon decided to invest $8,000 in the stock market 1 day early in 2008. Six months after he invested, in July 17, the stocks he had purchased were down 50%. Fortunately for Simon, from July 17 to October 17, the stocks he had purchased went up 75%. At this point...",profit,22181,True,7
participant_101,Jerry received both the 15th highest and 15th lowest mark in the class. How many students are in the class?,29,14003,True,5
participant_101,"If it takes 5 machines 5 min to make 5 widgets, how long would it take 100 machines to make 100 widgets?",5,18063,True,2
participant_101,"In a lake, there is a patch of lily pads. Every day, the patch doubles in size. If it takes 48 days for the patch to cover the entire lake, how long would it take for the patch to cover half of the lake?",47,33490,True,3
participant_101,"If John can drink one barrel of water in 6 days, and Mary can drink one barrel of water in 12 days, how long would it take them to drink one barrel of water together?",6,12462,False,4
participant_101,A bat and a ball cost $1.10. The bat costs $1.00 more than the ball. How much does the ball cost?,1.1,34050,False,1
participant_102,"A man buys a pig for $60, sells it for $70, buys it back for $80, and sells it finally for $90. How much has he made?",20,46456,True,6
participant_102,Jerry received both the 15th highest and 15th lowest mark in the class. How many students are in the class?,29,38868,True,5
participant_102,"If John can drink one barrel of water in 6 days, and Mary can drink one barrel of water in 12 days, how long would it take them to drink one barrel of water together?",4,54301,True,4
participant_102,"Simon decided to invest $8,000 in the stock market 1 day early in 2008. Six months after he invested, in July 17, the stocks he had purchased were down 50%. Fortunately for Simon, from July 17 to October 17, the stocks he had purchased went up 75%. At this point...",profit,49400,True,7
participant_102,"If it takes 5 machines 5 min to make 5 widgets, how long would it take 100 machines to make 100 widgets?",100,44578,False,2
participant_102,A bat and a ball cost $1.10. The bat costs $1.00 more than the ball. How much does the ball cost?,0.1,29413,False,1
participant_102,"In a lake, there is a patch of lily pads. Every day, the patch doubles in size. If it takes 48 days for the patch to cover the entire lake, how long would it take for the patch to cover half of the lake?",12,50244,False,3
participant_103,A bat and a ball cost $1.10. The bat costs $1.00 more than the ball. How much does the ball cost?,0.1,38461,False,1
participant_103,"If it takes 5 machines 5 min to make 5 widgets, how long would it take 100 machines to make 100 widgets?",5,55277,True,2
participant_103,"In a lake, there is a patch of lily pads. Every day, the patch doubles in size. If it takes 48 days for the patch to cover the entire lake, how long would it take for the patch to cover half of the lake?",47,27593,True,3
participant_103,"If John can drink one barrel of water in 6 days, and Mary can drink one barrel of water in 12 days, how long would it take them to drink one barrel of water together?",4,29203,True,4
participant_103,Jerry received both the 15th highest and 15th lowest mark in the class. How many students are in the class?,29,21374,True,5
participant_103,"A man buys a pig for $60, sells it for $70, buys it back for $80, and sells it finally for $90. How much has he made?",20,23339,True,6
participant_103,"Simon decided to invest $8,000 in the stock market 1 day early in 2008. Six months after he invested, in July 17, the stocks he had purchased were down 50%. Fortunately for Simon, from July 17 to October 17, the stocks he had purchased went up 75%. At this point...",loss,27394,False,7
participant_104,"A man buys a pig for $60, sells it for $70, buys it back for $80, and sells it finally for $90. How much has he made?",20,127524,True,6
participant_104,"Simon decided to invest $8,000 in the stock market 1 day early in 2008. Six months after he invested, in July 17, the stocks he had purchased were down 50%. Fortunately for Simon, from July 17 to October 17, the stocks he had purchased went up 75%. At this point...",loss,98186,False,7
participant_104,"If John can drink one barrel of water in 6 days, and Mary can drink one barrel of water in 12 days, how long would it take them to drink one barrel of water together?",4,123047,True,4
participant_104,Jerry received both the 15th highest and 15th lowest mark in the class. How many students are in the class?,29,67290,True,5
participant_104,"If it takes 5 machines 5 min to make 5 widgets, how long would it take 100 machines to make 100 widgets?",1,53805,False,2
participant_104,A bat and a ball cost $1.10. The bat costs $1.00 more than the ball. How much does the ball cost?,0.1,46972,False,1
participant_104,"In a lake, there is a patch of lily pads. Every day, the patch doubles in size. If it takes 48 days for the patch to cover the entire lake, how long would it take for the patch to cover half of the lake?",24,56244,False,3
participant_105,"Simon decided to invest $8,000 in the stock market 1 day early in 2008. Six months after he invested, in July 17, the stocks he had purchased were down 50%. Fortunately for Simon, from July 17 to October 17, the stocks he had purchased went up 75%. At this point...",profit,312304,True,7
participant_105,Jerry received both the 15th highest and 15th lowest mark in the class. How many students are in the class?,28,54527,False,5
participant_105,"If John can drink one barrel of water in 6 days, and Mary can drink one barrel of water in 12 days, how long would it take them to drink one barrel of water together?",9,52431,False,4
participant_105,"A man buys a pig for $60, sells it for $70, buys it back for $80, and sells it finally for $90. How much has he made?",20,151378,True,6
participant_105,"If it takes 5 machines 5 min to make 5 widgets, how long would it take 100 machines to make 100 widgets?",500,35938,False,2
participant_105,A bat and a ball cost $1.10. The bat costs $1.00 more than the ball. How much does the ball cost?,0.1,25166,False,1
participant_105,"In a lake, there is a patch of lily pads. Every day, the patch doubles in size. If it takes 48 days for the patch to cover the entire lake, how long would it take for the patch to cover half of the lake?",24,26032,False,3
participant_106,"A man buys a pig for $60, sells it for $70, buys it back for $80, and sells it finally for $90. How much has he made?",0,45331,False,6
participant_106,A bat and a ball cost $1.10. The bat costs $1.00 more than the ball. How much does the ball cost?,0.1,55857,False,1
participant_106,"If it takes 5 machines 5 min to make 5 widgets, how long would it take 100 machines to make 100 widgets?",5,81438,True,2
participant_106,"In a lake, there is a patch of lily pads. Every day, the patch doubles in size. If it takes 48 days for the patch to cover the entire lake, how long would it take for the patch to cover half of the lake?",24,42204,False,3
participant_106,"If John can drink one barrel of water in 6 days, and Mary can drink one barrel of water in 12 days, how long would it take them to drink one barrel of water together?",6,52959,False,4
participant_106,Jerry received both the 15th highest and 15th lowest mark in the class. How many students are in the class?,30,19219,False,5
participant_106,"Simon decided to invest $8,000 in the stock market 1 day early in 2008. Six months after he invested, in July 17, the stocks he had purchased were down 50%. Fortunately for Simon, from July 17 to October 17, the stocks he had purchased went up 75%. At this point...",profit,138710,True,7
participant_107,"Simon decided to invest $8,000 in the stock market 1 day early in 2008. Six months after he invested, in July 17, the stocks he had purchased were down 50%. Fortunately for Simon, from July 17 to October 17, the stocks he had purchased went up 75%. At this point...",loss,68445,False,7
participant_107,Jerry received both the 15th highest and 15th lowest mark in the class. How many students are in the class?,29,47869,True,5
participant_107,"If John can drink one barrel of water in 6 days, and Mary can drink one barrel of water in 12 days, how long would it take them to drink one barrel of water together?",3,36413,False,4
participant_107,"A man buys a pig for $60, sells it for $70, buys it back for $80, and sells it finally for $90. How much has he made?",20,34163,True,6
participant_107,"If it takes 5 machines 5 min to make 5 widgets, how long would it take 100 machines to make 100 widgets?",5,45886,True,2
participant_107,A bat and a ball cost $1.10. The bat costs $1.00 more than the ball. How much does the ball cost?,0.5,93044,False,1
participant_107,"In a lake, there is a patch of lily pads. Every day, the patch doubles in size. If it takes 48 days for the patch to cover the entire lake, how long would it take for the patch to cover half of the lake?",47,52675,True,3
participant_108,A bat and a ball cost $1.10. The bat costs $1.00 more than the ball. How much does the ball cost?,0.05,75810,True,1
participant_108,"If it takes 5 machines 5 min to make 5 widgets, how long would it take 100 machines to make 100 widgets?",5,39541,True,2
participant_108,"In a lake, there is a patch of lily pads. Every day, the patch doubles in size. If it takes 48 days for the patch to cover the entire lake, how long would it take for the patch to cover half of the lake?",47,36254,True,3
participant_108,"If John can drink one barrel of water in 6 days, and Mary can drink one barrel of water in 12 days, how long would it take them to drink one barrel of water together?",4,54125,True,4
participant_108,Jerry received both the 15th highest and 15th lowest mark in the class. How many students are in the class?,29,31057,True,5
participant_108,"A man buys a pig for $60, sells it for $70, buys it back for $80, and sells it finally for $90. How much has he made?",20,34875,True,6
participant_108,"Simon decided to invest $8,000 in the stock market 1 day early in 2008. Six months after he invested, in July 17, the stocks he had purchased were down 50%. Fortunately for Simon, from July 17 to October 17, the stocks he had purchased went up 75%. At this point...",loss,28991,False,7
participant_109,"Simon decided to invest $8,000 in the stock market 1 day early in 2008. Six months after he invested, in July 17, the stocks he had purchased were down 50%. Fortunately for Simon, from July 17 to October 17, the stocks he had purchased went up 75%. At this point...",profit,19469,True,7
participant_109,"A man buys a pig for $60, sells it for $70, buys it back for $80, and sells it finally for $90. How much has he made?",20,18073,True,6
participant_109,Jerry received both the 15th highest and 15th lowest mark in the class. How many students are in the class?,29,16750,True,5
participant_109,"If it takes 5 machines 5 min to make 5 widgets, how long would it take 100 machines to make 100 widgets?",5,23107,True,2
participant_109,"In a lake, there is a patch of lily pads. Every day, the patch doubles in size. If it takes 48 days for the patch to cover the entire lake, how long would it take for the patch to cover half of the lake?",47,17110,True,3
participant_109,A bat and a ball cost $1.10. The bat costs $1.00 more than the ball. How much does the ball cost?,0.05,89256,True,1
participant_109,"If John can drink one barrel of water in 6 days, and Mary can drink one barrel of water in 12 days, how long would it take them to drink one barrel of water together?",4,31816,True,4
participant_11,"A man buys a pig for $60, sells it for $70, buys it back for $80, and sells it finally for $90. How much has he made?",20,55951,True,6
participant_11,A bat and a ball cost $1.10. The bat costs $1.00 more than the ball. How much does the ball cost?,0.1,35599,False,1
